Family                                    ,Page                                 ,Name                                   ,Method   ,Fragments
Brilliant Event: Back to Hogwarts         ,Brilliant Hogwarts Gates             ,Sorting Hat                            ,         ,12
Brilliant Event: Back to Hogwarts         ,Brilliant Hogwarts Gates             ,Hogsmeade Sign                         ,         ,5
Brilliant Event: Back to Hogwarts         ,Brilliant Hogwarts Gates             ,                                       ,         ,1
Brilliant Event: Back to Hogwarts         ,Brilliant Hogwarts Gates             ,                                       ,         ,1
Brilliant Event: Back to Hogwarts         ,Brilliant Hogwarts Gates             ,                                       ,         ,3
Brilliant Event: Back to Hogwarts         ,Brilliant Hogwarts Gates             ,                                       ,         ,1
Brilliant Event: Back to Hogwarts         ,Brilliant Platform 9 3/4             ,Hufflepuff Student                     ,         ,10
Brilliant Event: Back to Hogwarts         ,Brilliant Platform 9 3/4             ,                                       ,         ,1
Brilliant Event: Back to Hogwarts         ,Brilliant Platform 9 3/4             ,                                       ,         ,5
Brilliant Event: Back to Hogwarts         ,Brilliant Platform 9 3/4             ,                                       ,         ,10
Brilliant Event: Back to Hogwarts         ,Brilliant Platform 9 3/4             ,                                       ,         ,1
Brilliant Event: Back to Hogwarts         ,Brilliant Platform 9 3/4             ,                                       ,         ,10
Brilliant Event: Back to Hogwarts         ,Brilliant Platform 9 3/4             ,                                       ,         ,10
Brilliant Event: Back to Hogwarts         ,Brilliant Platform 9 3/4             ,                                       ,         ,3
Brilliant Event: Christmas Calamity       ,Brilliant Yule Ball Dance Floor I    ,Hermione and Viktor                    ,         ,10
Brilliant Event: Christmas Calamity       ,Brilliant Yule Ball Dance Floor I    ,                                       ,         ,5
Brilliant Event: Christmas Calamity       ,Brilliant Yule Ball Dance Floor I    ,                                       ,         ,1
Brilliant Event: Christmas Calamity       ,Brilliant Yule Ball Dance Floor I    ,                                       ,         ,1
Brilliant Event: Christmas Calamity       ,Brilliant Yule Ball Dance Floor I    ,                                       ,         ,3
Brilliant Event: Christmas Calamity       ,Brilliant Yule Ball Dance Floor I    ,                                       ,         ,10
Brilliant Event: Christmas Calamity       ,Brilliant Yule Ball Dance Floor II   ,                                       ,         ,1
Brilliant Event: Christmas Calamity       ,Brilliant Yule Ball Dance Floor II   ,                                       ,         ,1
Brilliant Event: Christmas Calamity       ,Brilliant Yule Ball Dance Floor II   ,                                       ,         ,10
Brilliant Event: Christmas Calamity       ,Brilliant Yule Ball Dance Floor II   ,                                       ,         ,10
Brilliant Event: Christmas Calamity       ,Brilliant Yule Ball Dance Floor II   ,                                       ,         ,3
Brilliant Event: Christmas Calamity       ,Brilliant Yule Ball Dance Floor II   ,                                       ,         ,5
Brilliant Event: Christmas Calamity       ,Brilliant Yule Ball Dance Floor II   ,                                       ,         ,1
Brilliant Event: Darkest of Times         ,Brilliant Great Hall                 ,Professor Trewlaney                    ,Portkey  ,5
Brilliant Event: Darkest of Times         ,Brilliant Great Hall                 ,Glass Jug of Pumpkin Juice             ,Task     ,1
Brilliant Event: Darkest of Times         ,Brilliant Great Hall                 ,Dumbledore                             ,Encounter,15
Brilliant Event: Darkest of Times         ,Brilliant Great Hall                 ,Professor Burbage                      ,Fortress ,3
Brilliant Event: Darkest of Times         ,Brilliant Great Hall                 ,Post Owl                               ,Task     ,1
Brilliant Event: Darkest of Times         ,Brilliant Great Hall                 ,Fawkes                                 ,Encounter,15
Brilliant Event: Darkest of Times         ,Brilliant Headmaster's Office        ,Griffin Statue                         ,Portkey  ,5
Brilliant Event: Darkest of Times         ,Brilliant Headmaster's Office        ,Memory Vials                           ,Task     ,1
Brilliant Event: Darkest of Times         ,Brilliant Headmaster's Office        ,Pensieve                               ,Encounter,15
Brilliant Event: Darkest of Times         ,Brilliant Headmaster's Office        ,Young Dumbledore                       ,Task     ,1
Brilliant Event: Darkest of Times         ,Brilliant Headmaster's Office        ,Deluminator                            ,Fortress ,3
Brilliant Event: Darkest of Times         ,Brilliant Headmaster's Office        ,Sherbet Lemon                          ,Task     ,1
Brilliant Event: Fantastic Flora and Fauna,Brilliant Forbidden Forest           ,Buckbeak                               ,         ,10
Brilliant Event: Fantastic Flora and Fauna,Brilliant Forbidden Forest           ,Scorched Tree Stump                    ,         ,1
Brilliant Event: Fantastic Flora and Fauna,Brilliant Forbidden Forest           ,Snargaluff                             ,         ,3
Brilliant Event: Fantastic Flora and Fauna,Brilliant Forbidden Forest           ,Unicorn                                ,         ,12
Brilliant Event: Fantastic Flora and Fauna,Brilliant Forbidden Forest           ,Young Acromantula                      ,         ,3
Brilliant Event: Fantastic Flora and Fauna,Brilliant Forbidden Forest           ,                                       ,         ,1
Brilliant Event: Fighting Forces          ,Brilliant 12 Grimmauld Place         ,                                       ,         ,3
Brilliant Event: Fighting Forces          ,Brilliant 12 Grimmauld Place         ,                                       ,         ,12
Brilliant Event: Fighting Forces          ,Brilliant 12 Grimmauld Place         ,                                       ,         ,1
