Family                        ,Page                       ,Name                                      ,Threat   ,Standard,Bronze,Silver,Gold,Returned                                        ,Description
Care of Magical Creatures     ,Forbidden Forest           ,Baby Unicorn                              ,Medium   ,12      ,20    ,30    ,45  ,Forbidden Forest                                ,"Unicorn foals are initially gold in colour before turning silver and then white as they mature. Unicorns inhabit the forests of Europe and their horn, blood and hair all have coveted magical properties."
Care of Magical Creatures     ,Forbidden Forest           ,Blast-Ended Skrewt                        ,Medium   ,12      ,20    ,30    ,45  ,Hogwarts Grounds                                ,"Blast-Ended Skrewts, controversially bred by Rubeus Hagrid, are a cross between Manticores and Fire Crabs. Aggressive and ill-tempered, male Blast-Ended Skrewts have stingers, while the females have suckers in order to suck blood."
Care of Magical Creatures     ,Forbidden Forest           ,Dragon Egg                                ,Medium   ,12      ,20    ,30    ,45  ,Romanian Dragon Sanctuary                       ,"Dragon mothers are extremely protective of their eggs, breathing fire on them to keep them warm and incubate their young. Dragon Eggs are classified as Class A Non-Tradeable Material."
Care of Magical Creatures     ,Forbidden Forest           ,Firenze                                   ,Severe   ,5       ,10    ,13    ,18  ,The Forbidden Forest                            ,Firenze is a Centaur who lives within the Forbidden Forest. He briefly broke with Centaur tradition and taught Divination at Hogwarts School of Witchcraft and Wizardry before eventually returning to his colony following the Battle of Hogwarts.
Care of Magical Creatures     ,Forbidden Forest           ,Hippogriff                                ,High     ,9       ,15    ,22    ,30  ,Hogwarts Grounds                                ,"A Hippogriff is a flying magical creature with the head, talons, and wings of an eagle, and body, tail, and rear end of a horse. Hippogriffs are native to Europe and can make noble companions if shown the right level of respect."
Care of Magical Creatures     ,Forbidden Forest           ,Puffskein                                 ,Blank    ,7       ,14    ,21    ,25  ,                                                ,
Care of Magical Creatures     ,Hagrid's Hut               ,Abraxan Winged Horse                      ,Blank    ,7       ,14    ,21    ,25  ,                                                ,
Care of Magical Creatures     ,Hagrid's Hut               ,Baby Norwegian Ridgeback                  ,High     ,9       ,15    ,22    ,30  ,Romanian Dragon Sanctuary                       ,"Native to Norway, young Norwegian Ridgebacks develop the skill to breathe fire earlier than any other dragon breed. Hagrid illegally hatched a baby Norwegian Ridgeback, Norberta, who was eventually raised in a dragon sanctuary."
Care of Magical Creatures     ,Hagrid's Hut               ,Buckbeak                                  ,Severe   ,5       ,10    ,13    ,18  ,Rubeus Hagrid                                   ,Buckbeak was a Hippogriff saved by Harry Potter from an unfair execution. Buckbeak was instrumental in enabling Sirius Black to escape the Dementors and leave Hogwarts.
Care of Magical Creatures     ,Hagrid's Hut               ,Hagrid's Hut                              ,Blank    ,7       ,14    ,21    ,25  ,                                                ,
Care of Magical Creatures     ,Hagrid's Hut               ,Rubeus Hagrid                             ,Emergency,3       ,5     ,7     ,10  ,Hogwarts Grounds                                ,"Half-Giant, gamekeeper, and Professor of Care of Magical Creatures, Rubeus Hagrid has an affinity for tea, gardening, and magical creatures (especially of the extremely dangerous variety). He is rarely seen without his faithful boarhound, Fang, by his side."
